opportunity_id,sales_agent,product,account,deal_stage,engage_date,close_date,close_value
1C1I7A6R,Moses Frase,GTX Plus Basic,Cancity,Won,20-10-16,03-01-17,1054
Z063OYW0,Darcel Schlecht,GTX Pro,Isdom,Won,25-10-16,03-11-17,4514
EC4QE1BX,Darcel Schlecht,MG Special,Cancity,Won,25-10-16,03-07-17,50
MV1LWRNH,Moses Frase,GTX Basic,Codehow,Won,25-10-16,03-09-17,588
PE84CX4O,Zane Levy,GTX Basic,Hatfan,Won,25-10-16,03-02-17,517
ZNBS69V1,Anna Snelling,MG Special,Ron-tech,Won,29-10-16,03-01-17,49
9ME3374G,Vicki Laflamme,MG Special,J-Texon,Won,30-10-16,03-02-17,57
7GN8Q4LL,Markita Hansen,GTX Basic,Cheers,Won,11-01-16,03-07-17,601
OLK9LKZB,Niesha Huffines,GTX Plus Basic,Zumgoity,Won,11-01-16,03-03-17,1026
NL3JZH1Z,Anna Snelling,MG Special,Bioholding,Won,11-04-16,03-10-17,53
KWVA7VR1,Gladys Colclough,GTX Pro,Genco Pura Olive Oil Company,Lost,11-04-16,18-03-17,0
S8DX3XOU,James Ascencio,GTX Plus Pro,Sunnamplex,Won,11-04-16,03-10-17,5169
ENB2XD8G,Maureen Marcano,GTX Plus Pro,Sonron,Won,11-04-16,03-06-17,4631
09YE9QOV,Hayden Neloms,MG Advanced,Finjob,Won,11-05-16,03-11-17,3393
3F5MZNEH,Rosalina Dieter,MG Special,Sonron,Lost,11-05-16,03-03-17,0
M6WEJXC0,Rosalina Dieter,MG Advanced,Scotfind,Won,11-05-16,03-06-17,3284
6PTR7VBR,Versie Hillebrand,MG Special,Treequote,Won,11-06-16,03-05-17,61
902REDPA,Daniell Hammack,GTX Pro,Xx-zobam,Lost,11-07-16,03-09-17,0
5J9CMGDV,Elease Gluck,MG Special,Rantouch,Won,11-07-16,03-08-17,46
JJXRR8R6,James Ascencio,GTX Plus Pro,Fasehatice,Lost,11-07-16,17-03-17,0
WF4HA5NW,Moses Frase,MG Special,Ron-tech,Won,11-07-16,18-03-17,50
C5K2JP1H,Violet Mclelland,GTX Plus Basic,Vehement Capital Partners,Won,11-07-16,03-11-17,1014
ADRB8OMB,Darcel Schlecht,GTX Basic,Warephase,Won,11-08-16,26-03-17,561
SBCR987L,Kami Bicknell,GTX Basic,Zoomit,Won,11-10-16,23-03-17,590
JSD4APT2,Versie Hillebrand,MG Special,Bioholding,Won,11-10-16,03-12-17,61
AO9Z2D17,Violet Mclelland,GTX Plus Pro,Xx-zobam,Lost,11-10-16,03-11-17,0
5M58DTJK,Elease Gluck,MG Special,Cheers,Won,11-11-16,03-05-17,58
KNY1OSAB,Maureen Marcano,GTX Pro,Labdrill,Won,11-11-16,14-03-17,4899
EAZDUUM9,Rosie Papadopoulos,MG Advanced,Zotware,Lost,11-11-16,03-01-17,0
2STUSOFE,Versie Hillebrand,MG Special,dambase,Won,11-11-16,03-03-17,67
JYKM0B00,James Ascencio,GTX Pro,Xx-holding,Won,11-12-16,03-06-17,4338
KU28360J,Kary Hendrixson,GTX Basic,Fasehatice,Won,11-12-16,19-03-17,578
N4SD17JR,Reed Clapper,GTX Basic,Acme Corporation,Won,11-12-16,03-01-17,556
E67P9Y3Q,Rosalina Dieter,GTX Basic,Green-Plus,Won,11-12-16,03-03-17,635
AT3MMVIS,Wilburn Farren,MG Advanced,The New York Inquirer,Won,11-12-16,03-07-17,3045
REJ11LRY,Garret Kinder,GTX Plus Basic,Mathtouch,Won,13-11-16,14-03-17,1233
ERV0CAZ7,Versie Hillebrand,MG Special,Zumgoity,Won,13-11-16,03-09-17,60
8SOQADK7,Anna Snelling,MG Special,Gogozoom,Lost,14-11-16,30-03-17,0
TCHFT25B,Darcel Schlecht,GTX Basic,Stanredtax,Lost,14-11-16,03-08-17,0
CZVN09WN,Darcel Schlecht,GTX Plus Basic,Konmatfix,Won,14-11-16,20-03-17,1170
30UQWUKB,Marty Freudenburg,GTX Plus Basic,Genco Pura Olive Oil Company,Won,15-11-16,20-03-17,1162
97UN20YY,Darcel Schlecht,MG Advanced,Conecom,Won,16-11-16,14-03-17,3725
JXLERZ9O,Kary Hendrixson,GTX Basic,Golddex,Won,16-11-16,31-03-17,559
6ROE69W5,Rosalina Dieter,GTX Basic,Plexzap,Lost,16-11-16,03-11-17,0
0DFXFKT7,Darcel Schlecht,GTX Plus Basic,Rundofase,Lost,17-11-16,21-03-17,0
XKMZVSN4,James Ascencio,GTX Plus Pro,Sonron,Won,17-11-16,03-05-17,4667
IU8V0BZK,Marty Freudenburg,GTX Plus Basic,Finhigh,Won,17-11-16,17-03-17,903
XY42936P,Maureen Marcano,GTX Plus Basic,Finjob,Won,17-11-16,13-03-17,1180
XRN54MBM,Niesha Huffines,GTX Basic,Ron-tech,Won,17-11-16,03-05-17,487
2V848WZD,Lajuana Vencill,MG Advanced,Stanredtax,Won,18-11-16,03-04-17,3180
ONYNTUCG,Darcel Schlecht,GTX Pro,Funholding,Lost,19-11-16,17-03-17,0
HIOHX80Y,Darcel Schlecht,MG Advanced,Gogozoom,Won,19-11-16,18-03-17,3563
LPKT07PV,Boris Faz,GTX Pro,Opentech,Won,20-11-16,23-03-17,4704
WPB2SLIG,Donn Cantrell,GTX Plus Pro,Silis,Won,20-11-16,14-03-17,5585
XUSUEAV7,Elease Gluck,GTK 500,Zoomit,Won,20-11-16,03-09-17,25897
3TYPII47,Kami Bicknell,GTX Plus Basic,Goodsilron,Won,20-11-16,03-03-17,1207
7WAX8Z8O,Lajuana Vencill,MG Advanced,Cancity,Lost,20-11-16,03-08-17,0
MYDUMR3R,Lajuana Vencill,GTX Basic,Rangreen,Won,20-11-16,03-04-17,559
37JFKD4I,Niesha Huffines,GTX Plus Basic,dambase,Won,20-11-16,03-09-17,1033
25YKPHX8,Donn Cantrell,GTX Basic,Kan-code,Won,21-11-16,21-03-17,462
BXXMA7F3,Hayden Neloms,MG Advanced,Nam-zim,Lost,21-11-16,03-01-17,0
GIUUTBXM,Kary Hendrixson,GTX Pro,Y-corporation,Won,21-11-16,14-03-17,5539
MFX2LR1Q,Lajuana Vencill,MG Advanced,Ron-tech,Won,21-11-16,15-03-17,3573
DUHE9FLY,Marty Freudenburg,GTX Pro,Conecom,Won,21-11-16,03-01-17,4926
96BSG7R1,Zane Levy,GTX Plus Basic,Sunnamplex,Lost,21-11-16,17-03-17,0
7FQMSWIX,Corliss Cosme,MG Special,Bioplex,Won,22-11-16,03-04-17,62
C20AVXN7,Darcel Schlecht,GTX Pro,Gogozoom,Won,22-11-16,14-03-17,4359
GS1QVWCR,Kami Bicknell,GTX Basic,Plusstrip,Won,22-11-16,31-03-17,566
ZWH8FXY3,Marty Freudenburg,GTX Basic,Toughzap,Won,22-11-16,03-03-17,508
2U94Y3Q9,Rosie Papadopoulos,MG Advanced,Vehement Capital Partners,Lost,22-11-16,20-03-17,0
AAR79NOO,Versie Hillebrand,MG Special,Codehow,Won,22-11-16,03-11-17,51
B6B0PNR2,Vicki Laflamme,GTX Pro,Dalttechnology,Won,22-11-16,03-05-17,4899
LXZA2OSZ,Corliss Cosme,GTX Plus Pro,Ontomedia,Won,23-11-16,03-03-17,5790
N0ONCYVZ,Donn Cantrell,MG Special,Kinnamplus,Lost,23-11-16,30-03-17,0
513DPFX5,Gladys Colclough,GTX Pro,Codehow,Won,23-11-16,03-03-17,4438
RU023K5W,Gladys Colclough,MG Advanced,Finhigh,Won,23-11-16,17-03-17,2972
BZCBQ514,Markita Hansen,GTX Basic,Y-corporation,Won,23-11-16,03-01-17,523
HEE6P0QH,Anna Snelling,MG Advanced,Statholdings,Won,24-11-16,25-03-17,3647
L8CHRJ2B,Cassey Cress,MG Advanced,Umbrella Corporation,Won,24-11-16,03-01-17,4200
V2X2KMUR,Kami Bicknell,GTX Plus Basic,Faxquote,Won,24-11-16,28-03-17,1059
AJIPJP75,Marty Freudenburg,GTX Plus Basic,Codehow,Lost,24-11-16,03-05-17,0
NYVA2G6U,Versie Hillebrand,MG Special,Dontechi,Won,24-11-16,03-02-17,57
FF45BXTL,Vicki Laflamme,MG Advanced,Konex,Won,24-11-16,27-03-17,3671
TTA9LYBS,Anna Snelling,MG Special,Treequote,Won,25-11-16,03-01-17,58
PAGZQH8L,Cecily Lampkin,MG Advanced,Treequote,Won,25-11-16,03-06-17,3956
J7YF6DS7,Corliss Cosme,GTX Plus Pro,Betasoloin,Won,25-11-16,03-01-17,5964
S5IXY4Z9,Corliss Cosme,GTX Pro,Betasoloin,Won,25-11-16,03-06-17,4570
JQBJMETQ,Darcel Schlecht,MG Special,Domzoom,Won,25-11-16,27-03-17,49
0LVWSWEW,Violet Mclelland,MG Special,Donquadtech,Won,25-11-16,03-06-17,65
K53BC1T9,Anna Snelling,MG Special,Domzoom,Lost,26-11-16,27-03-17,0
D40N5I9Y,Darcel Schlecht,GTX Pro,Finhigh,Won,26-11-16,03-08-17,4739
051QTX8Z,Niesha Huffines,GTX Plus Basic,Globex Corporation,Won,26-11-16,21-03-17,1080
5D2XH04S,Reed Clapper,MG Special,Plussunin,Won,26-11-16,03-12-17,57
V9E582SK,Garret Kinder,GTX Basic,Konex,Won,27-11-16,16-03-17,469
UK0LEZRJ,Kary Hendrixson,GTX Basic,Condax,Won,27-11-16,03-03-17,532
IT10CFQH,Rosalina Dieter,GTX Basic,Konex,Won,27-11-16,26-03-17,538
8VKD2CCH,Rosie Papadopoulos,GTX Pro,Massive Dynamic,Won,27-11-16,21-03-17,4829
2XQAKBXH,Zane Levy,GTX Plus Pro,Doncon,Won,27-11-16,03-11-17,5370
7G7YLGJO,Zane Levy,GTX Plus Pro,Hatfan,Won,27-11-16,21-03-17,6499
GCA97W27,Darcel Schlecht,GTX Plus Basic,Genco Pura Olive Oil Company,Won,28-11-16,03-06-17,1161
K8FUZHOG,Kary Hendrixson,GTX Basic,Scotfind,Won,28-11-16,26-03-17,576
5WJZMULK,Maureen Marcano,GTX Plus Basic,Hatfan,Won,28-11-16,19-03-17,979
ZPYD4T9W,Versie Hillebrand,MG Special,Stanredtax,Won,28-11-16,03-07-17,43
KE9ZEDS8,Gladys Colclough,MG Special,Scottech,Won,29-11-16,03-07-17,57
